ID	Elav_1	Elav_2	Elav_3	Elav_4	Elav_5	Repo_1	Repo_2	Repo_3	Repo_4	Repo_5
CG31699	22.78480313	40.78594007	59.30163596	109.8963759	56.88593159	40.78594007	21.11212657	16.33619401	59.30163596	86.22294892
CG31700	6.821079134	6.320330495	7.110741449	6.498019171	6.105036836	8.339726087	7.310651602	6.821079134	13.45434264	11.3137085
CG31702	41.93258892	49.1800058	41.64293937	43.71328822	46.52712055	60.96883187	51.62507259	53.44562684	123.6398501	56.10276616
CG31704	227.5437264	86.22294892	342.509454	131.5985698	192.6715837	147.0333894	61.81992505	166.5717575	27.28431654	153.2772742
CG31705	24.42014734	30.69645182	47.50475426	82.13925744	57.68002961	250.7315962	126.2377862	421.6786008	179.7689441	1067.484939
CG31706	58.89200964	74.54294953	50.21338227	95.67035191	41.35529058	1541.372669	237.2065438	1389.162831	430.5389646	1136.199139
CG31708	126.2377862	191.3407038	150.1228735	153.2772742	97.00586026	82.71058116	135.2983092	173.6453539	74.02804377	16.67945217
CG31709	9.713559075	10.62948651	10.41073484	16.91228865	12.38051995	10.62948651	15.77972327	13.547925	28.8400148	12.04197398
CG3171	17.3877578	19.56224444	21.25897303	15.88947993	18.76535919	23.26356028	29.44600482	22.78480313	36.50443891	27.28431654
CG31710	37.01402188	32.89964245	45.254834	31.77895985	65.79928491	133.4356174	92.41146851	165.4211623	66.25695513	75.06143675
CG31711	27.85761803	26.17286587	29.04061297	30.48441594	28.4429658	36.75834736	44.32350298	40.22442798	141.0438548	46.52712055
CG31712	2521.383759	2368.897401	1937.52606	1629.258719	1389.162831	1468.370174	955.4257833	1629.258719	617.3736078	968.7630302
CG31713	142.0248924	116.9704256	166.5717575	270.5966184	206.5002904	184.822937	112.2055323	148.0560875	212.3058037	106.8912537
CG31714	461.4402369	639.145241	494.5594004	439.5855035	263.1971396	564.1754193	861.0779292	317.3651712	116.9704256	263.1971396
CG31715	235.5680386	290.0182746	179.7689441	172.4458978	247.2797002	96.33579183	119.4282229	76.10925536	41.06962872	91.13921252
CG31716	1734.1344	1209.336485	1260.691879	1438.151553	1152.059888	1082.386474	1128.350839	1782.887554	1009.902289	458.2528363
CG31717	59.30163596	51.26847217	66.71780869	40.22442798	72.50456866	195.3611787	50.56264396	19.69831061	77.7084726	28.24649588
CG31718	9.382679594	8.339726087	8.5741877	8.397733469	11.71268557	9.317868692	14.82540899	12.55334557	18.50701094	14.12324794
CG31719	186.1084822	140.0695938	37.27147477	76.6386371	64	11.47164198	294.0667789	11.15794933	20.53481436	16
CG3172	315.1729698	458.2528363	328.5570298	487.750655	328.5570298	380.0380341	310.8338904	448.8221293	42.22425314	131.5985698
CG31720	54.19169999	25.63423608	47.50475426	12.38051995	37.27147477	11.23555901	13.36140671	13.8325957	49.52207979	37.27147477
CG31721	254.2316788	174.8531529	290.0182746	171.254727	125.3657981	182.278425	274.3740064	145.0091373	200.8535291	163.1437603
CG31722	9.126109727	11.39240156	9.063071082	13.92880901	14.2214829	11.95879399	16.44982123	10.55606329	38.8542363	17.63048185
CG31723	16.22335168	18.89588258	16.67945217	25.10669113	30.2738447	26.90868529	30.69645182	31.12495832	89.26359465	25.45716748
CG31728	21.55573723	22.94328397	21.55573723	26.53822547	31.55944654	25.8125363	36.00187151	25.8125363	46.85074227	41.06962872
CG31729	770.6863347	867.0671999	608.8740429	1067.484939	855.1300295	765.3628153	699.4126115	621.6677808	754.8258393	1184.4487
CG3173	254.2316788	219.7927517	130.6895521	187.4029691	144.007486	93.05424111	153.2772742	59.30163596	16.44982123	37.79176517
CG31730	6.02098699	6.233316637	4.890561111	6.91629785	7.568461174	5.897076869	7.110741449	5.979396995	9.781122222	6.276672783
CG31731	96.33579183	134.3637355	86.22294892	83.86517785	106.8912537	59.71411146	74.54294953	110.6607656	54.94818793	54.19169999
CG31732	210.8393004	286.0255073	128.8903104	227.5437264	206.5002904	158.6825856	146.0177556	191.3407038	54.56863307	347.2907078
CG31733	11.08087574	12.12573253	12.99603834	12.21007367	11.79415374	15.67072476	21.25897303	13.8325957	43.71328822	17.1483754
CG31735	6.02098699	6.233316637	7.110741449	7.210003701	11.71268557	8.224910613	7.412704495	8.5741877	11.95879399	6.868523492
CG31736	12.38051995	11.71268557	11.15794933	12.38051995	15.03236399	12.46663327	16.79546694	13.45434264	12.21007367	16
CG31737	17.26765178	18.76535919	12.81711804	11.39240156	17.50869922	17.50869922	16.1112888	14.92852786	30.90996253	18.76535919
CG31738	1408.554822	1722.155858	1541.372669	1770.57225	1820.349811	1910.851567	1552.093764	1428.217514	4039.609158	1782.887554
CG31739	929.299615	760.0760682	995.9986662	749.6118763	508.4633577	675.5880503	1845.760947	989.1188008	86.22294892	803.4141162
CG3174	23.58830748	77.7084726	18.63573738	27.6651914	30.2738447	40.78594007	26.35491255	18.12614216	26.53822547	47.83517596
CG31740	18.50701094	19.69831061	20.39297004	23.42537114	29.44600482	25.99207668	32.89964245	26.35491255	75.58353033	37.27147477
CG31741	11.79415374	10.12605275	10.70342044	12.55334557	16.33619401	13.26911273	19.15965927	13.8325957	31.12495832	18.37917368
CG31742	13.45434264	13.92880901	14.32040113	16.33619401	18.89588258	21.40684088	21.11212657	16	35.75318842	22.78480313
CG31743	164.2785149	227.5437264	240.5178238	256	229.1264182	608.8740429	608.8740429	709.1760477	103.2501452	861.0779292
CG31744	5.856342784	6.773962499	6.190259974	6.105036836	7.06162397	9.382679594	8.938297105	9.646462622	20.2521055	8.6938789
CG31745	388.023441	354.5880238	369.6458741	445.7218884	319.5726205	576.0299442	526.3942792	458.2528363	625.9918222	315.1729698
CG31746	235.5680386	232.3249038	164.2785149	219.7927517	298.1717981	136.2393834	67.18186775	77.17170097	106.8912537	286.0255073
CG31747	11.47164198	11.23555901	12.04197398	10.77786861	12.21007367	11.95879399	17.63048185	13.547925	21.85664411	17.63048185
